Tiempo (s),Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
112.551,27.16,,42.46,0.0,0
112.861,27.09,,44.51,0.0,0
113.173,27.16,,42.42,0.0,0
113.483,27.01,,47.06,0.0,0
113.792,27.09,,44.46,0.0,0
114.103,27.11,,43.93,0.0,0
114.415,27.15,,42.88,0.0,0
114.739,27.23,,40.28,0.0,0
115.051,27.27,,39.21,0.0,0
115.363,27.23,,40.22,30.0,0
115.674,27.13,,43.32,30.0,0
115.985,27.04,,45.89,30.0,0
116.295,26.94,,49.01,0.0,0
116.604,27.02,,46.43,0.0,0
116.928,26.85,,51.62,0.0,0
117.234,26.87,,51.11,30.0,0
117.548,26.77,,54.23,30.0,0
117.858,26.65,,57.87,30.0,0
118.169,26.87,,51.18,30.0,0
118.481,26.84,,52.26,60.0,0
118.793,26.75,,54.86,60.0,0
119.116,26.96,,48.67,60.0,0
119.427,26.75,,54.89,0.0,0
119.739,26.72,,55.95,0.0,0
120.05,26.8,,53.41,0.0,0
120.051,26.94,,49.26,0.0,0
120.36,26.94,,49.26,0.0,0
120.673,27.2,,41.5,0.0,0
120.981,27.1,,44.6,0.0,0
121.295,27.13,,43.55,90.0,0
121.608,27.2,,41.48,90.0,0
121.918,26.99,,47.68,90.0,0
122.227,26.94,,49.24,0.0,0
122.539,26.84,,52.34,0.0,0
122.868,27.03,,46.67,0.0,0
123.176,27.08,,45.12,120.0,0
123.492,27.25,,39.92,120.0,0
123.799,27.22,,40.93,120.0,0
124.112,27.22,,40.9,90.0,0
124.419,27.18,,41.91,90.0,0
124.737,27.18,,41.9,90.0,0
125.044,27.25,,39.81,90.0,0
125.352,27.3,,38.22,450.0,0
125.665,27.32,,37.68,450.0,0
125.99,26.99,,47.49,450.0,0
126.302,27.16,,42.31,300.0,0
126.611,27.18,,41.77,300.0,0
126.919,27.15,,42.78,300.0,0
127.229,27.23,,40.16,120.0,0
127.54,27.27,,39.08,120.0,0
127.856,27.01,,46.84,120.0,0
128.167,27.16,,42.18,120.0,0
128.492,26.97,,47.88,30.0,0
128.494,26.68,,56.7,30.0,0
128.798,26.85,,51.55,30.0,0
129.111,26.7,,56.22,30.0,0
129.424,26.82,,52.62,30.0,0
129.736,26.87,,51.09,30.0,0
130.05,26.92,,49.56,120.0,0
130.362,27.04,,45.94,120.0,0
130.674,26.99,,47.5,120.0,0
130.983,27.01,,46.98,120.0,0
131.299,27.2,,41.28,450.0,0
131.612,26.84,,52.14,450.0,0
131.923,26.66,,57.33,450.0,0
132.233,26.87,,51.14,90.0,0
132.545,26.72,,55.82,90.0,0
132.854,26.92,,49.63,90.0,0
133.179,27.37,,36.14,30.0,0
133.477,27.3,,38.19,30.0,0
133.792,27.28,,38.67,30.0,0
134.102,27.08,,44.86,30.0,0
134.415,26.97,,47.95,270.0,0
134.744,26.72,,55.79,270.0,0
135.055,26.68,,56.85,270.0,0
135.379,26.85,,51.71,210.0,0
135.69,27.22,,40.81,210.0,0
136.005,27.25,,39.76,210.0,0
136.312,27.28,,38.7,150.0,0
136.624,27.37,,36.06,150.0,0
136.935,27.09,,44.35,150.0,0
136.936,27.25,,39.68,150.0,0
137.244,27.37,,36.0,630.0,0
137.559,27.44,,33.84,630.0,0
137.87,27.46,,33.28,630.0,0
138.181,27.54,,30.63,90.0,0
138.505,27.27,,38.89,90.0,0
138.819,27.46,,33.13,90.0,0
139.127,27.42,,34.09,360.0,0
139.439,27.18,,41.32,360.0,0
139.749,27.27,,38.71,360.0,0
140.06,26.99,,47.01,360.0,0
140.37,26.73,,54.79,180.0,0
140.684,26.73,,54.85,180.0,0
140.993,26.84,,51.75,180.0,0
141.304,26.94,,48.66,0.0,0
141.63,27.16,,41.93,0.0,0
141.943,27.15,,42.43,0.0,0
142.254,27.34,,36.67,240.0,0
142.562,27.21,,40.26,240.0,0
142.869,27.27,,38.67,240.0,0
143.179,27.3,,37.61,240.0,0
143.506,27.11,,43.26,30.0,0
143.817,27.35,,35.99,30.0,0
144.127,27.15,,42.19,30.0,0
144.437,27.13,,42.69,60.0,0
144.747,26.96,,47.87,60.0,0
145.057,26.89,,49.93,60.0,0
145.378,27.08,,44.23,90.0,0
145.379,27.15,,42.15,90.0,0
145.69,27.2,,40.58,90.0,0
146.003,26.97,,47.3,90.0,0
146.311,27.04,,45.2,210.0,0
146.619,27.13,,42.59,210.0,0
146.945,27.08,,44.13,210.0,0
147.243,27.34,,36.34,90.0,0
147.568,27.18,,41.0,90.0,0
147.882,27.46,,32.62,90.0,0
148.19,27.46,,32.57,150.0,0
148.502,27.42,,33.57,150.0,0
148.81,27.34,,36.12,150.0,0
149.121,27.28,,37.65,150.0,0
149.432,27.28,,37.61,180.0,0
149.756,27.32,,36.54,180.0,0
150.067,27.32,,36.51,180.0,0
150.376,27.37,,34.91,150.0,0
150.686,27.46,,32.28,150.0,0
150.997,27.25,,38.42,150.0,0
151.306,27.25,,38.4,90.0,0
151.636,27.03,,45.13,90.0,0
151.941,26.96,,47.2,90.0,0
152.253,26.8,,51.89,90.0,0
152.563,27.11,,42.57,60.0,0
152.874,27.3,,36.84,60.0,0
153.183,27.35,,35.25,60.0,0
153.506,27.23,,38.84,360.0,0
153.814,27.23,,38.82,360.0,0
153.819,27.13,,41.89,360.0,0
154.125,27.11,,42.39,90.0,0
154.434,27.39,,34.08,90.0,0
154.744,27.2,,39.75,90.0,0
155.055,27.27,,37.66,510.0,0
155.368,27.18,,40.2,510.0,0
155.679,27.15,,41.23,510.0,0
156.009,27.15,,41.21,510.0,0
156.332,27.28,,37.04,330.0,0
156.642,27.13,,41.69,330.0,0
156.955,27.18,,40.1,330.0,0
157.263,27.3,,36.45,120.0,0
157.573,27.15,,41.1,120.0,0
157.888,27.13,,41.61,120.0,0
158.199,27.02,,44.7,210.0,0
158.51,27.06,,43.66,210.0,0
158.823,27.23,,38.45,210.0,0
159.146,27.11,,42.05,210.0,0
159.458,27.28,,36.84,300.0,0
159.767,27.37,,34.17,300.0,0
160.078,27.23,,38.29,300.0,0
160.386,27.56,,28.42,180.0,0
160.695,27.51,,29.92,180.0,0
161.007,27.51,,29.87,180.0,0
161.32,27.28,,36.56,300.0,0
161.646,27.18,,39.66,300.0,0
161.959,27.08,,42.76,300.0,0
161.961,27.25,,37.55,300.0,0
162.269,27.28,,36.48,570.0,0
162.579,27.25,,37.46,570.0,0
162.893,27.35,,34.32,570.0,0
163.204,27.2,,38.97,360.0,0
163.514,27.13,,41.03,360.0,0
163.822,27.2,,38.95,360.0,0
164.135,27.16,,39.94,210.0,0
164.458,27.08,,42.52,210.0,0
164.77,27.27,,36.78,210.0,0
165.08,27.27,,36.76,210.0,0
165.389,27.46,,31.01,270.0,0
165.699,27.32,,35.1,270.0,0
166.014,27.27,,36.64,270.0,0
166.321,27.16,,39.71,690.0,0
166.647,27.18,,39.17,690.0,0
166.957,27.13,,40.71,690.0,0
167.265,27.32,,34.95,150.0,0
167.577,27.37,,33.36,150.0,0
167.888,27.41,,32.28,150.0,0
168.196,27.35,,33.79,150.0,0
168.522,27.37,,33.24,420.0,0
168.831,27.34,,34.21,420.0,0
169.141,27.06,,42.49,420.0,0
169.452,27.11,,40.93,900.0,0
169.765,26.92,,46.65,900.0,0
170.074,26.94,,46.14,900.0,0
170.389,27.21,,37.84,300.0,0
170.698,27.18,,38.85,300.0,0
171.024,27.32,,34.67,300.0,0
171.025,27.42,,31.52,300.0,0
171.334,27.59,,26.28,90.0,0
171.646,27.59,,26.19,90.0,0
171.96,27.42,,31.33,90.0,0
172.269,27.4,,31.81,210.0,0
172.581,27.18,,38.52,210.0,0
172.895,27.54,,27.5,210.0,0
173.203,27.56,,26.93,120.0,0
173.513,27.61,,25.31,120.0,0
173.823,27.73,,21.62,120.0,0
174.133,27.49,,28.84,120.0,0
174.446,27.4,,31.39,240.0,0
174.773,27.25,,36.03,240.0,0
175.082,27.09,,40.67,240.0,0
175.391,27.09,,40.66,150.0,0
175.699,27.09,,40.65,150.0,0
176.01,27.13,,39.59,150.0,0
176.334,27.25,,35.96,300.0,0
176.647,27.27,,35.41,300.0,0
176.956,27.42,,30.71,300.0,0
177.264,27.54,,27.03,300.0,0
177.577,27.54,,26.92,150.0,0
177.885,27.7,,22.18,150.0,0
178.212,27.49,,28.35,150.0,0
178.518,27.37,,31.93,840.0,0
178.83,27.3,,33.99,840.0,0
179.14,27.25,,35.49,840.0,0
179.45,27.3,,33.91,690.0,0
179.451,27.49,,28.16,690.0,0
179.76,27.28,,34.36,690.0,0
180.072,27.32,,33.29,690.0,0
180.385,27.44,,29.57,720.0,0
180.698,27.28,,34.21,720.0,0
181.022,27.3,,33.67,720.0,0
181.347,27.25,,35.19,750.0,0
181.661,26.99,,42.98,750.0,0
181.968,26.78,,49.2,750.0,0
182.279,26.99,,42.97,330.0,0
182.594,27.01,,42.45,330.0,0
182.906,27.29,,34.12,330.0,0
183.215,27.29,,34.09,480.0,0
183.524,27.6,,24.66,480.0,0
183.839,27.58,,25.12,480.0,0
184.164,27.54,,26.11,480.0,0
184.475,27.53,,26.57,120.0,0
184.782,27.56,,25.47,120.0,0
185.095,27.47,,28.0,120.0,0
185.406,27.41,,30.04,90.0,0
185.716,27.66,,22.19,90.0,0
186.027,27.41,,29.93,90.0,0
186.35,26.04,,70.91,120.0,0
186.66,26.15,,67.96,120.0,0
186.976,26.09,,69.62,120.0,0
187.289,26.25,,65.04,120.0,0
187.29,27.92,,14.71,60.0,0
187.616,27.6,,24.45,60.0,0
187.929,27.35,,31.66,60.0,0
188.243,27.3,,33.19,390.0,0
188.55,27.21,,35.77,390.0,0
188.862,27.23,,35.23,390.0,0
189.171,27.46,,28.43,270.0,0
189.482,27.46,,28.39,270.0,0
189.791,27.46,,28.34,270.0,0
190.117,27.35,,31.4,270.0,0
190.425,27.53,,26.16,630.0,0
190.736,27.27,,33.87,630.0,0
191.045,27.34,,31.75,630.0,0
191.356,27.47,,27.58,210.0,0
191.678,27.49,,27.01,210.0,0
191.977,27.39,,30.06,210.0,0
192.302,27.09,,38.83,1170.0,0
192.61,27.01,,41.42,1170.0,0
192.92,26.84,,46.63,1170.0,0
193.228,26.96,,43.02,1170.0,0
193.54,26.96,,43.03,360.0,0
193.851,27.08,,39.4,360.0,0
194.175,27.16,,36.79,360.0,0
194.487,27.35,,31.05,360.0,0
194.797,27.46,,27.9,360.0,0
195.105,27.59,,23.68,360.0,0
195.415,27.65,,22.0,600.0,0
195.741,27.42,,28.7,600.0,0
195.742,27.51,,26.05,600.0,0
196.056,27.47,,27.04,600.0,0
196.364,27.56,,24.4,420.0,0
196.676,27.41,,28.96,420.0,0
196.988,27.51,,25.78,420.0,0
197.296,27.37,,29.89,390.0,0
197.61,27.49,,26.21,390.0,0
197.923,27.37,,29.79,390.0,0
198.232,27.21,,34.44,390.0,0
198.542,27.28,,32.34,390.0,0
198.853,27.08,,38.55,390.0,0
199.179,27.06,,39.06,390.0,0
199.489,27.02,,40.09,330.0,0
199.802,26.96,,42.16,330.0,0
200.111,27.15,,36.44,330.0,0
200.422,27.13,,36.94,630.0,0
200.732,27.37,,29.65,630.0,0
201.043,27.39,,29.09,630.0,0
201.364,27.4,,28.47,330.0,0
201.676,27.49,,25.84,330.0,0
201.987,27.53,,24.74,330.0,0
202.296,27.6,,22.61,330.0,0
202.607,27.61,,21.96,390.0,0
202.914,27.82,,15.63,390.0,0
203.238,27.56,,23.36,390.0,0
203.549,27.53,,24.35,2490.0,0
